Id,Type,Race,Sex,Data
3,0,11,0,0
4,0,11,0,1
5,0,11,0,2
6,0,11,0,3
7,0,11,0,4
8,0,11,0,5
9,0,11,0,6
10,0,11,0,7
11,0,11,0,8
19,2,11,0,0
20,2,11,0,1
21,2,11,0,2
22,2,11,0,3
23,2,11,0,4
24,2,11,0,5
25,2,11,0,6
26,2,11,0,7
27,0,1,1,0
28,0,1,1,1
29,0,1,1,2
30,0,1,1,3
31,0,1,1,4
32,0,1,1,5
33,0,1,1,6
34,0,1,1,7
35,0,1,1,8
36,0,1,1,9
37,0,1,1,10
38,0,1,1,11
39,0,1,1,12
40,0,1,1,13
41,0,1,1,14
42,0,1,1,15
43,0,1,1,16
44,0,1,1,17
55,2,1,1,0
56,2,1,1,1
57,2,1,1,2
58,2,1,1,3
59,2,1,1,4
60,2,1,1,5
61,2,1,1,6
62,0,1,1,18
63,0,1,0,0
64,0,1,0,1
65,0,1,0,2
66,0,1,0,3
67,0,1,0,4
68,0,1,0,5
69,0,1,0,6
70,0,1,0,7
71,0,1,0,8
72,0,1,0,9
73,0,1,0,10
74,0,1,0,11
85,2,1,0,0
86,2,1,0,1
87,2,1,0,2
88,2,1,0,3
89,2,1,0,4
90,2,1,0,5
91,2,1,0,6
92,2,1,0,7
93,2,1,0,8
125,0,11,1,0
126,0,11,1,1
127,0,11,1,2
128,0,11,1,3
129,0,11,1,4
130,0,11,1,5
131,0,11,1,6
132,0,11,1,7
133,0,11,1,8
134,0,11,1,9
135,0,11,1,10
143,2,11,1,0
144,2,11,1,1
145,2,11,1,2
146,2,11,1,3
147,2,11,1,4
148,2,11,1,5
149,2,11,1,6
175,0,10,1,0
176,0,10,1,1
177,0,10,1,2
178,0,10,1,3
179,0,10,1,4
180,0,10,1,5
181,0,10,1,6
182,0,10,1,7
183,0,10,1,8
184,0,10,1,9
185,0,10,1,10
186,0,10,1,11
187,0,10,1,12
188,0,10,1,13
200,2,10,1,1
201,2,10,1,2
202,2,10,1,3
203,2,10,1,4
204,2,10,1,5
205,2,10,1,6
206,2,10,1,7
207,2,10,1,8
208,2,10,1,9
209,2,10,1,10
245,0,10,0,0
246,0,10,0,1
247,0,10,0,2
248,0,10,0,3
249,0,10,0,4
250,0,10,0,5
251,0,10,0,6
252,0,10,0,7
253,0,10,0,8
254,0,10,0,9
255,0,10,0,10
266,2,10,0,0
267,2,10,0,1
268,2,10,0,2
269,2,10,0,3
270,2,10,0,4
271,2,10,0,5
272,2,10,0,6
273,2,10,0,7
274,2,10,0,8
275,2,10,0,9
307,0,4,0,0
308,0,4,0,1
309,0,4,0,2
310,0,4,0,3
311,0,4,0,4
312,0,4,0,5
313,0,4,0,6
322,2,4,0,0
323,2,4,0,1
324,2,4,0,2
325,2,4,0,3
326,2,4,0,4
327,2,4,0,5
349,0,3,0,0
350,0,3,0,1
351,0,3,0,2
352,0,3,0,3
353,0,3,0,4
354,0,3,0,5
355,0,3,0,6
356,0,3,0,7
357,0,3,0,8
358,0,3,0,9
359,0,3,0,10
370,2,3,0,0
371,2,3,0,1
372,2,3,0,2
373,2,3,0,3
374,2,3,0,4
375,2,3,0,5
376,2,3,0,6
377,2,3,0,7
378,2,3,0,8
379,2,3,0,9
380,2,3,0,10
413,0,2,1,0
414,0,2,1,1
415,0,2,1,2
416,0,2,1,3
417,0,2,1,4
418,0,2,1,5
419,0,2,1,6
420,0,2,1,7
429,2,2,1,0
430,2,2,1,1
431,2,2,1,2
432,2,2,1,3
433,2,2,1,4
434,2,2,1,5
435,2,2,1,6
459,0,3,1,0
460,0,3,1,1
461,0,3,1,2
462,0,3,1,3
463,0,3,1,4
464,0,3,1,5
465,0,3,1,6
466,0,3,1,7
467,0,3,1,8
468,0,3,1,9
469,0,3,1,10
470,0,3,1,11
471,0,3,1,12
472,0,3,1,13
483,2,3,1,0
484,2,3,1,1
485,2,3,1,2
486,2,3,1,3
487,2,3,1,4
488,2,3,1,5
519,0,7,1,0
520,0,7,1,1
521,0,7,1,2
522,0,7,1,3
523,0,7,1,4
524,0,7,1,5
525,0,7,1,6
535,2,7,1,0
536,2,7,1,1
537,2,7,1,2
538,2,7,1,3
539,2,7,1,4
540,2,7,1,5
541,2,7,1,6
565,0,7,0,0
566,0,7,0,1
567,0,7,0,2
568,0,7,0,3
569,0,7,0,4
570,0,7,0,5
571,0,7,0,6
581,2,7,0,0
582,2,7,0,1
583,2,7,0,2
584,2,7,0,3
585,2,7,0,4
586,2,7,0,5
587,2,7,0,6
588,2,7,0,7
613,0,5,0,0
614,0,5,0,1
615,0,5,0,2
616,0,5,0,3
617,0,5,0,4
618,0,5,0,5
619,0,5,0,6
620,0,5,0,7
621,0,5,0,8
622,0,5,0,9
633,2,5,0,0
634,2,5,0,1
635,2,5,0,2
636,2,5,0,3
637,2,5,0,4
