ModelId,ModelScale,CollisionHeight,CollisionHeightMounted
1,1,2.0833333,0
2,1,2.0833333,1.504953
3,1,2.0833333,1.9117709
4,1,0,0
5,1,1.6666666,0
6,1,2.031278,0
8,1,2.031278,0
9,1,2.031278,0
10,1,2.031278,0.8916453
11,1,1.5277778,0
12,1,2.031278,0
13,1,2.0312655,0
14,1,2.0312655,0
15,1,2.0312655,0
16,1,2.0833333,1.1516955
17,1,2.031278,0
18,1,2.0312655,0
19,1,2.0312655,0
20,1,2.0312655,0
21,1,2.0312655,1.166689
22,1,2.031278,1.166689
23,1,2.0312655,1.166689
24,1,2.031278,0
25,1,2.031278,1.9958379
26,1,2.031278,0.88578117
27,1,2.031278,3.5428674
28,1,0,0
29,1,2.031278,1.0431145
30,1,2.031278,0
31,1,2.031278,0.38719562
32,1,2.031278,1.3466868
33,1,2.031278,1.3466868
34,1,2.031278,2.520609
35,1,2.0833333,5.1485085
36,1,2.0833333,0
37,1,2.031278,0
38,1,2.031278,2.4126165
39,1,2.031278,4.548936
40,1,2.031278,4.309965
41,1,2.0833333,0.8119469
42,1,2.031278,1.4188607
43,1,2.031278,0
44,1,2.031278,1.294047
45,1,2.031278,1.2179732
47,1,2.031278,1.5477326
49,1,2.0312655,1.0361831
50,1,1.9134549,1.002637
51,1,2.031278,1.117047
52,1,2.0514722,1.1119306
53,1,1.6065985,0.72492296
54,1,1.5277778,0.6805555
55,1,2.4380827,1.3009537
56,1,2.25,1.3347374
57,1,1.8611112,1.0782353
58,1,1.8438729,0.9855205
59,1,1.6527777,0.98721486
60,1.25,2.1111112,1.0233139
61,1,2.031278,0
62,1,2.031278,0
63,1,2.0833333,0
64,1,2.0833333,0
65,1,2.031278,1.8657131
66,1,2.031278,0
67,1,2.031278,0
68,1,2.031278,0
69,1,2.031278,0
70,1,2.0833333,1.3914036
71,1,2.031278,0
72,1,2.0833333,0
73,1,2.031278,1.3991108
74,1,2.031278,0
75,1,2.031278,0
76,1,2.031278,0
77,1,2.031278,0
78,1,2.0833333,0
79,1,2.031278,0
80,1,2.031278,0
81,1,2.0833333,0
82,1,2.031278,1.2413718
83,1,2.031278,1.7614743
84,1,2.031278,0
85,1,2.031278,1.1938912
86,1,2.0312655,0
87,1,2.0312655,0
88,1,2.0312655,0
89,1,2.0312655,0
90,1,2.031278,1.6565863
91,1,2.031278,0
92,1,2.031278,2.7649212
93,1,1.94444,0
94,1,2.031278,0
95,1,2.031278,0
96,1,1.94444,0
97,1,1.91345,1.07564
98,1,1.91345,1.06621
99,1,1.91345,1.07564
100,1,1.91345,1.07564
101,1,2.05556,0
102,1,2.08333,0
103,1,2.031278,0.87159854
104,1,2.0312655,1.166689
105,1,2.03126,1.16669
106,1,2.03126,0.871598
107,1,2.03126,1.16669
108,1,2.031264,1.1666889
109,1,1.9134549,1.0756395
110,1,2.031278,0
111,1,2.031278,0.26909152
112,1,2.031278,1.236362
113,1,2.3611112,1.2363617
114,1,2.031278,0
115,1,1.388889,0.8230555
116,1,2.031278,1.4188606
117,1,2.031278,1.4188606
118,1,2.031278,1.4188607
119,1,2.031278,1.4188606
120,1,2.031278,1.4188607
121,1,2.031278,1.4188607
122,1,2.0833333,0.8916453
123,1,2.031278,0.8916453
124,1,2.031278,0
125,1,2.0312655,1.166689
126,1,2.0312655,1.166689
127,1,2.031278,1.0361832
128,1,2.0833333,1.166689
129,1,2.0833333,1.166689
130,1,2.031278,0
131,1,1.25,0.4816526
132,1,2.031278,0
133,1,2.031278,0
134,1,2.031278,0
136,1,2.031278,0
137,1,2.031278,0
