CurrencyId,ItemId,MaxQty,Comment
42,29434,0,"Badge of Justice"
61,41596,0,"Dalaran Jewelcrafter's Token"
81,43016,0,"Epicurean's Award"
101,40752,0,"Emblem of Heroism"
102,40753,0,"Emblem of Valor"
121,20560,100,"Alterac Valley Mark of Honor"
122,20559,100,"Arathi Basin Mark of Honor"
123,29024,100,"Eye of the Storm Mark of Honor"
124,42425,0,"Strand of the Ancients Mark of Honor"
125,20558,100,"Warsong Gulch Mark of Honor"
126,43589,0,"Wintergrasp Mark of Honor"
161,43228,0,"Stone Keeper's Shard"
201,37836,0,"Venture Coin"
221,45624,0,"Emblem of Conquest"
241,44990,0,"Champion's Seal"
301,47241,0,"Emblem of Triumph"
321,47395,0,"Isle of Conquest Mark of Honor"
341,49426,0,"Emblem of Frost"
1900,0,10000,"Arena Points"
1901,0,75000,"Honor Points"
