Message_lang,Pos_0,Pos_1,Pos_2,ID,ContinentID,PhaseUseFlags,PhaseID,PhaseGroupID,Radius,Box_length,Box_width,Box_height,Box_yaw,ShapeType,ShapeID,AreaTriggerActionSetID,Flags
You must be at least level 20 to enter.,2924.3798828125,-798.42901611328,161.61099243164,45,0,0,0,0,8,0,0,0,0,0,0,18440,0
,47.61349868774,-28.94619941711,-8.81758975983,60,24,0,0,0,7,0,0,0,0,0,0,18441,0
,-10645.900390625,1179.0600585938,48.17810058594,71,0,0,0,0,27,0,0,0,0,0,0,18442,0
You must be at least level 10 to enter.,-11208.5,1685.3399658203,25.76119995117,78,0,0,0,0,7,0,0,0,0,0,0,18443,0
,-259.24697875977,137.75117492676,36.56830596924,81,28,0,0,0,7,0,0,0,0,0,0,18444,0
,254.56939697266,-4.32205104828,6.48652076721,83,28,0,0,0,8,0,0,0,0,0,0,18445,0
,16449.900390625,16393.19921875,69.44439697266,84,0,0,0,0,15,0,0,0,0,0,0,18446,0
,-9077.33984375,-552.92498779297,60.34759902954,87,0,0,0,0,30,0,0,0,0,0,0,18447,0
,-9843.5400390625,127.52500152588,5.36980009079,88,0,0,0,0,10,0,0,0,0,0,0,18448,0
,-409.828125,-802.77081298828,-13.24696159363,95,30,0,0,0,9,0,0,0,0,0,0,18449,0
,-5660.330078125,755.29901123047,389.60501098633,97,0,0,0,0,15,0,0,0,0,0,0,18450,0
,-11634.799804688,-54.06969833374,13.44390010834,98,0,0,0,0,30,0,0,0,0,0,0,18451,0
,2019.3493652344,1904.359375,105.14444732666,100,0,0,0,0,7,0,0,0,0,0,0,18452,0
You must be at least level 15 to enter.,-8761.849609375,848.55700683594,87.80519866943,101,0,0,0,0,0,4.97200012207,9.69400024414,7.4439997673,0.66320002079,1,0,18453,0
,-8667.5595703125,623.56298828125,85.40540313721,107,0,0,0,0,7,0,0,0,0,0,0,18454,0
,-0.90042001009,16.44300079346,-14.23600006104,109,35,0,0,0,7,0,0,0,0,0,0,18455,0
