SpeciesId,SummonSpellId,CreatureId,Flags
39,4055,2671,2
40,10673,7385,2
41,10674,7384,2
42,10675,7383,2
43,10676,7382,2
44,10677,7380,2
45,10678,7381,2
46,10679,7386,2
47,10680,7390,2
49,10682,7391,2
50,10683,7387,2
51,10684,7389,2
52,10685,7394,2
55,10688,7395,2
56,10695,7543,2
57,10696,7547,2
58,10697,7544,2
59,10698,7545,2
64,10703,7550,2
65,10704,7549,2
67,10706,7555,2
68,10707,7553,2
69,10708,7554,58
70,10709,14421,2
72,10711,7560,2
74,10713,7561,2
75,10714,7565,2
77,10716,7562,2
78,10717,7567,2
83,12243,8376,18
84,13548,30379,18
85,15048,9656,2
86,15049,9657,16386
87,15067,9662,2
89,15999,10259,2050
90,16450,10598,2
92,17707,11325,16466
93,17708,11326,16466
94,17709,11327,16466
95,19772,12419,2
106,23811,14878,18
107,24696,15186,114
111,24988,15358,16466
114,25162,15429,2
116,26010,15699,2
117,26045,15710,2
118,26529,15706,2
119,26533,15698,2
120,26541,15705,2
121,27241,16069,16466
122,27570,16085,2
124,28505,16456,16466
125,28738,16547,2
126,28739,16548,2
127,28740,16549,2
128,28871,16701,2
130,30156,17255,16386
131,32298,18381,16466
132,33050,18839,2
136,35156,20408,2
137,35239,20472,2
138,35907,21010,2
139,35909,21009,2
140,35910,21008,2
141,35911,21018,2
142,36027,21055,2
143,36028,21064,2
144,36029,21063,2
145,36031,21056,2
146,36034,21076,2
149,39181,22445,18
153,39709,22943,2
155,40405,23198,16466
156,40549,23234,16386
157,40613,23231,2
158,40614,23258,2
159,40634,23266,2
160,40990,23274,82
162,42609,23909,2
163,43697,24388,2
164,43698,24389,2
165,43918,24480,2
166,44369,24753,2
167,45082,25062,2
168,45125,25109,16466
169,45127,25110,18514
170,45174,25146,114
171,45175,25147,114
172,45890,25706,16386
173,46425,26050,2
174,46426,26056,2
175,46599,26119,2
179,48406,27217,16402
180,48408,27346,16402
183,49964,27914,16466
186,51716,28470,2
187,51851,28513,16402
188,52615,28883,16466
189,53082,29089,16466
190,53316,29147,2
191,45048,24968,2
192,55068,29726,16466
193,59250,31575,2
194,61348,32589,2
195,61349,32590,2
196,61350,32592,2
197,61351,32591,2
198,61357,32595,2
199,61472,32643,82
200,61725,32791,2
201,61773,32818,82
202,61855,32841,16466
203,61991,32939,82
204,62491,33188,2
205,62508,33194,2
206,62510,33197,2
207,62513,33198,2
209,62516,33200,2
210,62542,33219,2
211,62561,33226,2
212,62562,33205,2
213,62564,33227,2
214,62609,33238,659
215,62674,33274,2
216,62746,33239,403
217,63318,33578,16466
218,63712,33810,2050
224,65358,34364,2
225,65381,33530,18
226,65382,33529,18
227,65682,34587,16466
228,66030,34694,114
229,66096,34724,2
231,66520,34930,114
232,67413,35396,2
233,67414,35395,2
234,67415,35400,2
235,67416,35387,2
236,67417,35399,2
237,67418,35397,2
238,67419,35398,2
239,67420,35394,2
240,67527,35468,16466
241,68767,36482,16466
242,68810,36511,16466
243,69002,36607,16466
244,69452,36871,114
245,69535,36908,16466
246,69536,36909,16466
247,69539,36910,114
248,69541,36911,114
249,69677,36979,16466
250,70613,37865,82
251,71840,38374,2
253,74932,40198,2
254,75134,40295,2
255,75613,40624,114
256,75906,40703,16466
257,75936,40721,34
258,78381,42078,114
757,23531,14755,16466
758,23530,14756,16466
1073,28487,16445,114
1168,24987,15361,16466
1351,66175,34770,34
1563,10699,7546,34
1927,30152,17254,16450
4172,10681,7388,34
4180,10712,7559,34
4182,10718,7569,34
4183,10719,7568,34
4184,10720,7566,34
4185,10721,7570,34
4204,36467,21266,16386
4206,38842,22328,34
4211,40319,23114,16466
4228,62514,33199,16386
4229,64351,34031,16386
