ID,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAura,EffectAuraPeriod,EffectBasePoints,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
35454,0,0,6,0,0,23,180000,0,0,1,0,0,0,0,0,0,0,43681,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,43680
35455,0,0,6,0,0,491,0,-1000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,43681
43425,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14,0,0,0,0,22,33,51120
122151,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,127,0,0,0,0,0,0,0,1,0,110310
122152,0,1,6,0,0,226,5000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,110310
220857,0,0,6,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,158263
222554,0,1,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,158950,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,158263
271408,0,0,6,0,0,4,0,100,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,186403
326148,0,0,6,0,0,23,180000,0,0,1,0,0,0,0,0,0,0,219004,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,219003
326149,0,0,6,0,0,491,0,-1000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,219004
623919,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,262591
623941,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,262604
623996,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,262641
678894,0,0,6,0,0,69,0,164,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,543
678895,0,1,6,1,0,74,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,543
678896,0,0,6,0,0,98,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,43,0,0,0,0,0,0,0,1,0,601
678897,0,0,6,0,0,23,3000,-1,0,1,0,1,0,0,0,0,0,3052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,134
678898,0,0,24,0,0,0,0,0,0,1,0,1,7960,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10015
678899,0,0,6,1,0,28,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10074
678902,0,0,35,0,0,15,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,461
678908,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4268,0,0,0,0,0,0,0,1,0,459
678913,0,0,67,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,633
678914,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,428
678915,0,0,6,0,0,3,3000,9,0.06239999831,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,172
678917,0,0,6,0,0,23,3000,-1,0,1,0,1,0,0,0,0,0,3053,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,184
678918,0,0,2,0,0,0,0,12,0.125,1,0,3,0,0,0,0,0.40000000596,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,403
678919,0,0,24,0,0,0,0,1,0,1,0,1,1113,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,597
678920,0,0,2,0,0,0,0,53,0.55400002003,1,0,9,0,0,0,0,0.89999997616,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,598
678924,0,0,35,0,0,13,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,463
