ID,ItemID
1,1973
4,32566
5,33223
7,38578
9,34480
29,21540
30,33079
34,43499
99,32782
100,34499
101,37254
102,38301
103,44430
109,46709
110,49703
111,49704
112,52201
114,52253
168,54653
180,54651
183,54343
184,54438
185,54437
186,44606
187,45057
189,46843
192,34686
193,33927
195,37710
196,23767
198,45021
199,36863
200,45020
202,45063
205,44719
208,45019
209,40895
210,33219
214,32542
215,54212
217,45018
226,46780
227,35275
228,45014
230,30690
234,45015
237,45017
239,17716
241,45011
243,50471
244,45013
249,45016
250,45984
253,35227
255,17712
256,18660
257,36862
378,13379
465,43824
471,54452
476,40768
477,48933
480,18986
481,30544
482,18984
483,30542
484,40727
514,37460
515,44820
1441,38506
1442,198647
1443,38233
1444,184871
