ID,ContinentID,X,Y,Z
1,0,-8888.98,-0.54,94.39
2,0,-8840.56,489.7,109.61
3,0,16391.81,16341.21,69.44
4,0,-10629.29,1036.95,34.02
5,0,-9429.1,-2231.4,68.65
6,0,-4821.78,-1155.44,502.21
7,0,-3792.26,-783.29,9.06
8,0,-5421.91,-2930.01,347.25
9,0,-14271.77,299.87,31.09
10,0,478.86,1536.59,131.32
11,0,1568.62,267.97,-43.1
12,0,-10515.46,-1261.65,41.34
13,0,-0.06,-859.91,58.83
14,0,-711.48,-515.48,26.11
15,0,2253.4,-5344.9,83.38
16,0,-1240.53,-2515.11,22.16
17,0,-916.29,-3496.89,70.45
18,0,-14444.29,509.62,26.2
19,0,-14473.05,464.15,36.43
20,0,-12414.18,146.29,3.28
21,0,-6633.99,-2180.05,244.14
22,1,-1197.21,29.71,176.95
23,1,1677.59,-4315.71,61.17
24,0,-6666,-2222.3,278.6
25,1,-441.8,-2596.08,96.06
26,1,6341.38,557.68,16.29
27,1,8643.59,841.05,23.3
28,1,2827.34,-289.24,107.16
29,1,966.57,1040.32,104.27
30,1,-5407.71,-2414.3,90.32
31,1,-4491.88,-775.89,-39.52
32,1,-3825.37,-4516.58,10.44
33,1,2681.13,1461.68,232.88
34,1,-1965.17,-5824.29,-1.06
35,1,1320.07,-4649.2,21.57
36,0,-8644.62,433.28,59.46
37,1,139.24,1325.82,193.5
38,1,-1767.64,3263.89,4.94
39,1,-7223.97,-3734.59,8.39
40,1,-7048.89,-3780.36,10.19
41,1,-4373.8,3338.65,12.27
42,1,-4419.86,199.31,25.06
43,0,283.74,-2002.76,194.74
44,1,3661.52,-4390.38,113.05
45,0,-11112.25,-3435.74,79.09
46,0,-986.43,-547.86,-3.86
47,0,-12418.77,235.43,1.12
48,1,5068.4,-337.22,367.41
49,1,7458.45,-2487.21,462.33
50,0,0,0,0
51,0,0,0,0
52,1,6796.8,-4742.39,701.5
53,1,6813.06,-4611.12,710.67
54,1,-4203.87,3284,-12.86
55,1,-3147.39,-2842.18,34.61
56,0,-10456.97,-3279.25,21.35
57,1,8701.51,991.37,14.21
